Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
66,0.990321,0.982785,0.984781,0.990405,0.993843,1.550406,1.959605,0.848707,0.987551,0.993283,0.995558,44.729052,47.312341,47.521084,96.653744,
67,0.991511,0.983708,0.986142,0.991333,0.995246,1.550406,1.550406,0.856425,0.989959,0.994874,0.996689,45.191336,47.555771,47.832817,97.088605,
68,0.991808,0.982807,0.986722,0.992668,0.994992,1.431208,1.658561,0.852676,0.989779,0.994368,0.996049,44.966473,47.505625,47.964057,96.919200,
69,0.991646,0.982604,0.986572,0.991496,0.995513,1.431208,1.431208,0.851744,0.989237,0.994341,0.996173,45.050640,47.546174,47.804112,96.889866,
70,0.991133,0.981454,0.986550,0.990862,0.995012,2.299395,2.299395,0.852721,0.990128,0.994693,0.996122,45.037507,47.522872,48.047302,97.943722,
71,0.990561,0.981541,0.985196,0.990712,0.994268,2.264273,2.389558,0.847625,0.988911,0.994063,0.996060,44.826839,47.502658,48.079020,97.731453,
72,0.992398,0.984159,0.986980,0.992628,0.995846,2.264273,2.264273,0.858552,0.990004,0.994415,0.996321,45.329005,47.727233,48.428674,98.178976,
73,0.990843,0.980628,0.984594,0.991392,0.994707,2.292882,2.292882,0.846872,0.989282,0.994375,0.996600,44.786983,47.481948,47.919433,97.889497,
74,0.990894,0.982625,0.987064,0.991275,0.993610,2.547884,3.090309,0.853677,0.990150,0.994904,0.996516,45.061614,48.184600,48.434550,98.259686,
75,0.992109,0.985098,0.986503,0.992012,0.995501,2.430311,2.547884,0.871651,0.991171,0.995428,0.996653,45.804877,48.754023,49.033414,98.418709,
76,0.992129,0.984073,0.987604,0.991289,0.995844,2.430311,2.430311,0.867950,0.991333,0.995600,0.997091,45.566784,48.520670,48.729565,98.464790,
77,0.991811,0.984927,0.987200,0.991631,0.994829,2.910809,2.910809,0.871952,0.991209,0.995123,0.996555,45.870059,48.540209,48.770670,98.964752,
78,0.991560,0.982817,0.986412,0.991549,0.995004,2.166212,3.216697,0.861813,0.989213,0.994160,0.996273,45.423515,48.402326,48.692743,97.848456,
79,0.991588,0.982461,0.986222,0.991667,0.995104,2.166212,2.166212,0.852343,0.988962,0.993869,0.995686,45.033894,47.487264,47.932510,97.789865,
80,0.991297,0.982163,0.986035,0.991229,0.994871,3.001972,3.001972,0.847428,0.990103,0.994397,0.995946,44.799618,47.394291,47.681874,98.870230,
81,0.992021,0.984198,0.987981,0.991999,0.994883,3.384303,3.384303,0.865691,0.990499,0.994869,0.996515,45.601197,48.217340,48.770670,99.607091,
82,0.990614,0.981189,0.984467,0.990138,0.994852,3.830897,4.919799,0.832110,0.986206,0.993154,0.995320,44.232908,47.243069,47.648623,99.658802,
83,0.991785,0.983008,0.985673,0.992053,0.995524,3.830897,3.830897,0.846440,0.988898,0.994189,0.996186,44.786666,47.128926,47.582270,100.000000,
84,0.990980,0.983702,0.985311,0.990195,0.995012,3.615673,3.972296,0.855670,0.989256,0.994429,0.995940,45.118962,47.717874,48.192935,99.600116,
85,0.990509,0.982254,0.984400,0.990918,0.994335,3.313623,3.615673,0.844007,0.988972,0.994598,0.996865,44.624619,47.239159,47.487264,99.178176,
86,0.990615,0.982805,0.987159,0.989237,0.994747,2.353333,3.313623,0.848293,0.988825,0.993894,0.995588,44.871997,47.255378,47.720368,97.814710,
87,0.990518,0.982025,0.986486,0.989375,0.994870,1.534834,2.353333,0.847278,0.989089,0.994577,0.996560,44.905217,47.297040,47.578044,96.821524,
88,0.991655,0.982494,0.987051,0.992553,0.994857,1.534834,1.534834,0.857855,0.990582,0.995104,0.996796,45.384736,47.820036,48.093267,97.121344,
89,0.990662,0.981563,0.985848,0.991791,0.993702,1.620827,1.839335,0.851081,0.990676,0.994922,0.996219,45.094875,47.291951,47.685584,96.963956,
90,0.990111,0.981976,0.986604,0.990029,0.993293,1.620827,1.620827,0.852951,0.988447,0.993460,0.995206,45.091470,47.670145,47.960101,96.686336,
91,0.990754,0.981307,0.987113,0.991392,0.993785,1.796058,1.796058,0.852587,0.987573,0.993485,0.995754,44.993017,47.384467,47.701699,97.099816,
92,0.991002,0.982692,0.988028,0.990978,0.994040,2.019669,2.019669,0.844448,0.986640,0.992784,0.995278,44.522415,47.530625,47.629649,97.373506,
93,0.990721,0.982757,0.987081,0.990830,0.993798,2.175490,2.175490,0.852024,0.987108,0.993025,0.995332,44.782225,47.775597,48.206864,97.537361,
94,0.987619,0.980770,0.981604,0.987655,0.991394,1.414410,2.601469,0.840813,0.984065,0.991953,0.994132,44.176150,47.367185,47.745385,95.693023,
95,0.990312,0.983979,0.985788,0.990241,0.993412,1.163860,1.414410,0.862330,0.988265,0.993515,0.995592,45.390841,48.109607,48.417676,96.155215,
96,0.992282,0.983967,0.988125,0.992613,0.995420,1.163860,1.163860,0.868388,0.990933,0.995163,0.996467,45.772201,48.073605,48.460355,96.742856,
97,0.990977,0.985263,0.986514,0.990230,0.994407,1.209212,1.209212,0.854831,0.989074,0.994061,0.995731,45.176295,47.519298,48.143159,96.399544,
98,0.992321,0.985111,0.987566,0.993008,0.995153,1.322873,1.322873,0.860748,0.990284,0.995084,0.996687,45.418098,47.703562,48.059422,96.973607,
99,0.990607,0.982031,0.987262,0.990566,0.993772,1.347425,1.347425,0.847440,0.988824,0.993663,0.995541,44.834373,47.450773,48.058074,96.468187,
100,0.992305,0.985290,0.986428,0.993363,0.995287,1.173215,1.453520,0.876132,0.991172,0.995261,0.996524,45.931276,48.444854,48.858928,96.771866,
101,0.991533,0.982968,0.987743,0.991967,0.994581,1.173215,1.173215,0.868636,0.989982,0.994965,0.996761,45.420760,48.434550,48.739016,96.601806,
102,0.990142,0.981830,0.984682,0.989624,0.994443,1.232220,1.232220,0.843522,0.987056,0.993026,0.995672,44.441206,46.865509,47.023015,96.186558,
103,0.992255,0.983162,0.987411,0.992413,0.996000,1.105332,1.260038,0.863679,0.989557,0.994749,0.996364,45.414705,47.689917,48.194326,96.624099,
104,0.991187,0.981398,0.986814,0.991292,0.994924,1.105332,1.105332,0.857340,0.990340,0.995023,0.996812,45.270254,47.423896,47.951542,96.442629,
105,0.991639,0.984476,0.987106,0.991066,0.995287,0.785656,1.845743,0.867269,0.991254,0.995551,0.997086,45.714448,47.701699,47.930546,96.163302,
106,0.991663,0.983712,0.988842,0.990650,0.995194,0.785656,0.785656,0.865567,0.990330,0.994918,0.996664,45.561754,47.546174,48.036558,96.101581,
107,0.992295,0.984672,0.988308,0.992896,0.995011,1.186973,1.186973,0.863660,0.990976,0.995662,0.996906,45.452367,47.595581,48.116433,96.833613,
108,0.992428,0.982710,0.988244,0.992214,0.996230,1.359262,1.529080,0.861819,0.991429,0.995648,0.997200,45.469882,47.662754,47.871387,97.117868,
109,0.991739,0.984245,0.987158,0.992308,0.994622,0.862517,1.359262,0.864162,0.991783,0.995719,0.996642,45.586960,47.480767,48.070224,96.262785,
110,0.992538,0.985385,0.987700,0.993064,0.995459,0.862517,0.862517,0.873659,0.992569,0.995950,0.997115,46.112950,47.756690,48.090550,96.490066,
111,0.992213,0.983740,0.987594,0.992342,0.995617,1.222578,1.222578,0.870852,0.991559,0.994990,0.996538,45.856640,48.867041,49.220486,96.807873,
