Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
66,0.993893,0.988914,0.990199,0.993881,0.996278,1.550406,1.959605,0.887876,0.994347,0.996946,0.998159,46.802330,47.614407,48.089192,97.850285,
67,0.993877,0.989127,0.990080,0.993998,0.996190,1.550406,1.550406,0.886183,0.994648,0.997377,0.997997,46.748026,47.558774,47.960101,97.854107,
68,0.993846,0.988272,0.989212,0.994720,0.996130,1.431208,1.658561,0.886436,0.994672,0.997397,0.997915,46.728999,47.434394,48.040584,97.682083,
69,0.993880,0.988469,0.990588,0.993621,0.996400,1.431208,1.431208,0.889249,0.994282,0.996963,0.997685,46.875380,47.656604,48.101429,97.650433,
70,0.994372,0.988132,0.990623,0.994642,0.996866,2.299395,2.299395,0.887365,0.994647,0.997337,0.997902,46.781180,47.448429,47.948255,98.952227,
71,0.993855,0.988445,0.989370,0.994469,0.996189,2.264273,2.389558,0.881617,0.994351,0.997097,0.998054,46.466695,47.534209,47.692395,98.789465,
72,0.993992,0.987429,0.989591,0.993990,0.996890,2.264273,2.264273,0.882230,0.993544,0.996786,0.997981,46.500115,47.509782,47.760464,98.795548,
73,0.993541,0.987879,0.988595,0.993753,0.996250,2.292882,2.292882,0.882145,0.994291,0.996978,0.997736,46.505298,47.354556,47.739743,98.727808,
74,0.994072,0.987811,0.989628,0.994322,0.996674,2.547884,3.090309,0.882738,0.993871,0.996770,0.997757,46.563316,47.446087,47.917475,99.172016,
75,0.993769,0.987704,0.989462,0.993646,0.996546,2.430311,2.547884,0.885428,0.994546,0.997262,0.998124,46.634609,47.460748,47.739117,99.006768,
76,0.994326,0.987958,0.989614,0.994260,0.997238,2.430311,2.430311,0.892336,0.995210,0.997416,0.998402,46.991528,47.729107,48.190155,99.165407,
77,0.994082,0.987888,0.989979,0.993803,0.996859,2.910809,2.910809,0.884887,0.994117,0.996854,0.998034,46.640441,47.559375,47.839862,99.681754,
78,0.993872,0.988382,0.989926,0.993514,0.996492,2.166212,3.216697,0.885258,0.994023,0.996731,0.997483,46.697471,47.527045,47.971319,98.600740,
