Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
78,0.991736,0.982551,0.985363,0.991987,0.995503,2.166212,3.216697,0.845545,0.990721,0.995535,0.997119,44.914523,45.280021,45.620093,98.018149,
79,0.992129,0.983886,0.985852,0.992268,0.995728,2.166212,2.166212,0.846540,0.990791,0.995205,0.996535,44.965564,45.317514,45.843363,98.043054,
80,0.991538,0.982825,0.985707,0.990995,0.995513,3.001972,3.001972,0.847187,0.990408,0.995101,0.996880,44.963993,45.345577,45.725957,99.030872,
81,0.992109,0.982179,0.985455,0.991734,0.996465,3.384303,3.384303,0.845795,0.990285,0.994879,0.996912,44.950378,45.268304,45.717691,99.644053,
82,0.992056,0.983268,0.984660,0.992406,0.996029,3.830897,4.919799,0.846085,0.990685,0.995403,0.997119,45.035742,45.448207,45.828815,100.000000,
83,0.991800,0.981852,0.986422,0.991755,0.995729,3.830897,3.830897,0.843733,0.991241,0.995470,0.996960,44.916321,45.382915,45.867311,100.000000,
84,0.991291,0.983054,0.984977,0.990889,0.995496,3.615673,3.972296,0.841824,0.989746,0.994672,0.996009,44.854796,45.361850,45.737003,99.677284,
85,0.991679,0.983341,0.986460,0.992449,0.994947,3.313623,3.615673,0.845645,0.990700,0.995256,0.996711,44.993100,45.313929,45.972363,99.460942,
86,0.990979,0.982667,0.985916,0.991310,0.994629,2.353333,3.313623,0.842839,0.990063,0.994864,0.996791,44.883664,45.325052,45.899996,98.038295,
87,0.991182,0.983945,0.985958,0.990693,0.995212,1.534834,2.353333,0.842397,0.990610,0.995352,0.997048,44.894143,45.453384,45.735423,97.047203,
88,0.991426,0.983718,0.985197,0.992015,0.995107,1.534834,1.534834,0.844132,0.991185,0.995861,0.997518,44.966722,45.472296,45.817936,97.164084,
89,0.990515,0.982356,0.984545,0.990309,0.994690,1.620827,1.839335,0.842569,0.989745,0.994735,0.996898,44.884962,45.578383,45.744910,96.971682,
90,0.991696,0.983662,0.985361,0.991356,0.996057,1.620827,1.620827,0.842590,0.990962,0.995487,0.996818,44.915421,45.515246,45.791057,97.262986,
91,0.991466,0.983575,0.984939,0.990695,0.996181,1.796058,1.796058,0.841882,0.989733,0.994456,0.995858,44.820357,45.411772,45.739374,97.315390,
92,0.990804,0.982090,0.985057,0.991290,0.994605,2.019669,2.019669,0.843169,0.990292,0.995376,0.997273,44.880906,45.389838,45.592497,97.623808,
