Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
48,0.569797,0.690059,0.516833,0.506775,0.614478,4.303929,4.407040,0.072037,0.165818,0.228448,0.258587,15.944601,20.430914,21.376322,0.537309,5.678574,
49,0.566143,0.691682,0.521871,0.507966,0.600557,4.282989,4.303929,0.072340,0.166381,0.228704,0.259373,15.975039,20.408931,21.383477,0.537091,5.283543,
50,0.568904,0.688307,0.519015,0.513932,0.606247,4.282989,4.282989,0.071608,0.165537,0.226614,0.256242,15.955970,20.267992,21.394334,0.536406,5.629926,
51,0.573989,0.692950,0.517874,0.522191,0.611981,4.297048,4.297740,0.072201,0.166390,0.228694,0.261258,15.975190,20.231581,21.417274,0.538166,6.050210,
52,0.572169,0.684971,0.519921,0.512005,0.617036,4.297048,4.297048,0.071201,0.164965,0.226575,0.256030,15.925627,20.249142,21.405560,0.534038,5.983340,
53,0.573023,0.692152,0.513983,0.516098,0.616647,4.307144,4.307144,0.071984,0.165458,0.227156,0.258738,15.989111,20.364332,21.399968,0.535916,6.032449,
54,0.561071,0.685188,0.500124,0.499535,0.608016,4.347281,4.347281,0.069814,0.162080,0.222745,0.253916,15.898251,20.240692,21.378213,0.529244,5.184569,
55,0.566957,0.690604,0.507546,0.508137,0.609930,4.337226,4.352931,0.070324,0.163393,0.225951,0.257093,15.984609,20.163865,21.400683,0.531339,5.609106,
56,0.576558,0.685141,0.504985,0.510551,0.635063,4.337226,4.337226,0.070417,0.164022,0.226882,0.256491,15.994351,20.226958,21.413308,0.532665,6.479859,
57,0.563954,0.688842,0.501502,0.507600,0.606076,4.376933,4.376933,0.070332,0.165111,0.228192,0.257310,16.013201,20.277154,21.434278,0.532552,5.223405,
58,0.566345,0.682843,0.501280,0.518627,0.605130,4.410045,4.410045,0.071359,0.165854,0.230008,0.263851,16.062365,20.307648,21.439857,0.534548,5.400825,
59,0.571745,0.685526,0.500136,0.513752,0.623000,4.426474,4.503894,0.071048,0.165259,0.227898,0.259536,15.975774,20.367095,21.418687,0.531733,5.989481,
60,0.563005,0.687496,0.498572,0.517685,0.595988,4.426474,4.426474,0.071208,0.164876,0.227227,0.257262,15.935096,20.340363,21.428667,0.530729,5.179964,
61,0.562965,0.688934,0.501901,0.516138,0.595186,4.477408,4.477408,0.071125,0.164080,0.226325,0.258159,16.000488,20.390816,21.426256,0.531345,5.263664,
62,0.575893,0.687187,0.508903,0.522450,0.619820,4.526395,4.526395,0.070697,0.164362,0.227095,0.257544,15.965690,20.487613,21.387259,0.532123,6.505509,
63,0.575594,0.693202,0.508731,0.518070,0.621101,4.550384,4.569063,0.072444,0.166495,0.230567,0.263709,16.051090,20.394481,21.419097,0.537112,6.318689,
64,0.572497,0.694769,0.509926,0.530123,0.603388,4.440232,4.550384,0.071575,0.165448,0.229656,0.263541,16.002406,20.291299,21.444201,0.535139,6.031120,
65,0.576346,0.686673,0.510637,0.528999,0.616444,4.440232,4.440232,0.072407,0.167657,0.233159,0.269837,16.077023,20.343822,21.420620,0.538719,6.243963,
66,0.581073,0.682537,0.510620,0.531485,0.627963,4.486765,4.521574,0.071566,0.168155,0.234039,0.268572,16.057656,20.279057,21.427635,0.536828,6.702261,
67,0.575719,0.678584,0.506108,0.518277,0.629319,4.486765,4.486765,0.071446,0.167623,0.232716,0.268121,16.027070,20.306848,21.443495,0.535408,6.227329,
68,0.575659,0.683716,0.504414,0.519916,0.627099,4.490535,4.490535,0.071880,0.167384,0.231547,0.263716,15.996819,20.271872,21.432107,0.536496,6.237271,
69,0.568364,0.679102,0.497904,0.505448,0.624570,4.585436,4.585436,0.070813,0.166514,0.230459,0.263056,15.922690,20.409981,21.430772,0.532887,5.662705,
70,0.572561,0.688496,0.502418,0.504585,0.630378,4.600852,4.600852,0.071897,0.167313,0.232421,0.267275,16.016574,20.382992,21.453805,0.536247,5.999549,
71,0.570369,0.679291,0.503063,0.513571,0.620370,4.561555,4.710339,0.070528,0.167260,0.232174,0.267117,15.970006,20.455737,21.435745,0.536082,5.789283,
72,0.576232,0.683742,0.510098,0.514016,0.630609,4.506336,4.561555,0.071561,0.167579,0.232602,0.268938,16.037236,20.252708,21.461922,0.538709,6.294236,
73,0.578054,0.679875,0.496393,0.515774,0.640930,4.506336,4.506336,0.072015,0.168363,0.233326,0.267289,16.049729,20.342525,21.459271,0.539201,6.410730,
74,0.570036,0.683012,0.520636,0.506782,0.613439,4.612203,4.687213,0.071937,0.168298,0.234497,0.270822,16.077487,20.236978,21.442204,0.538864,5.687899,
75,0.576149,0.684481,0.501143,0.508928,0.636750,4.612203,4.612203,0.071692,0.167360,0.232287,0.265556,16.065783,20.280422,21.456676,0.536143,6.352603,
76,0.575854,0.684047,0.495431,0.510259,0.636765,5.012439,5.012439,0.072164,0.169346,0.235228,0.267923,16.068172,20.380411,21.467613,0.537107,6.417216,
77,0.571501,0.679812,0.493733,0.516606,0.623329,5.163393,5.163393,0.071220,0.167915,0.232710,0.266211,16.033700,20.279684,21.448183,0.534113,6.203856,
78,0.576355,0.686721,0.504240,0.510430,0.634968,5.416334,5.445758,0.071378,0.167122,0.232094,0.267875,16.119999,20.447159,21.459656,0.534499,6.880277,
79,0.573281,0.678006,0.497084,0.511431,0.632318,5.233166,5.416334,0.070494,0.166111,0.232132,0.267791,16.166979,20.403172,21.464278,0.534432,6.528259,
80,0.571495,0.679671,0.503483,0.505261,0.630344,5.233166,5.233166,0.069104,0.162875,0.226389,0.260090,16.129281,20.504455,21.463184,0.527981,6.610335,
81,0.578562,0.682646,0.496014,0.518733,0.640675,5.220864,5.343257,0.069806,0.164342,0.229061,0.263901,16.157881,20.364782,21.440388,0.530210,7.171858,
82,0.582569,0.677961,0.509740,0.524416,0.639841,5.220864,5.220864,0.069771,0.165617,0.230093,0.265131,16.142224,20.464038,21.416660,0.530459,7.491056,
83,0.568676,0.674101,0.501675,0.512008,0.619255,5.371129,5.371129,0.068813,0.163953,0.228355,0.262826,16.110729,20.428076,21.427470,0.526411,6.344572,
84,0.574236,0.676764,0.500040,0.523704,0.625160,5.394115,5.394115,0.068945,0.164423,0.229812,0.264835,16.149805,20.377020,21.358588,0.528919,6.850693,
85,0.566639,0.669530,0.489757,0.510388,0.623708,5.518686,5.518686,0.067426,0.163203,0.228826,0.263345,16.092543,20.413760,21.390945,0.526723,6.283411,
86,0.574541,0.657862,0.487620,0.514956,0.644983,5.570319,5.818387,0.067375,0.164369,0.230476,0.266232,16.080487,20.302799,21.432478,0.528463,7.001625,
87,0.570833,0.662440,0.483863,0.504386,0.643699,5.570319,5.570319,0.067370,0.165416,0.231566,0.267191,16.103248,20.375176,21.440577,0.528292,6.575349,
88,0.583902,0.662478,0.488091,0.520713,0.658532,5.984275,6.012452,0.068730,0.167798,0.235471,0.273685,16.170454,20.302308,21.423269,0.535119,7.935893,
89,0.586883,0.675475,0.484207,0.518447,0.666275,5.984275,5.984275,0.067898,0.165964,0.234679,0.274244,16.185237,20.271433,21.394995,0.533724,8.345731,
90,0.580740,0.661501,0.478850,0.518908,0.657236,6.005824,6.005824,0.065783,0.164029,0.232544,0.270665,16.138764,20.339882,21.346970,0.527909,7.888413,
91,0.577519,0.660076,0.484340,0.516862,0.650167,6.283409,6.283409,0.066817,0.167181,0.235884,0.276108,16.118619,20.425450,21.345538,0.530766,7.542402,
92,0.582089,0.666193,0.486915,0.516035,0.660860,6.524374,6.524374,0.066286,0.166377,0.234303,0.272897,16.250697,20.464631,21.337579,0.530435,8.202524,
93,0.578535,0.662866,0.480772,0.513310,0.656083,6.586943,6.863851,0.065680,0.165494,0.233147,0.273897,16.217965,20.476001,21.306173,0.530653,7.962194,
94,0.583413,0.657869,0.481937,0.516897,0.665735,6.586943,6.586943,0.065940,0.166759,0.234364,0.272525,16.241794,20.478145,21.274019,0.531720,8.357075,
